State,Median Income
Alabama,29703.0
Alaska,25682.0
Arizona,29303.0
Arkansas,24246.0
Colorado,42518.0
Delaware,32500.0
Idaho,17338.0
Indiana,35377.0
Kansas,56239.0
Louisiana,19889.0
Maine,24536.0
Minnesota,41803.0
Missouri,33275.0
Montana,50033.0
Nebraska,24342.0
Nevada,16994.0
North Carolina,20269.0
North Dakota,27296.0
South Carolina,60007.0
South Dakota,37083.0
Tennessee,25510.0
Texas,54373.0
Utah,27902.0
Vermont,28415.0
Virginia,24023.0
Washington,30753.0
West Virginia,30263.0
