State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Beaverton,273.0,18.0,0.0,0.0,0.0,10.0,245.0,0.0,0.0
 Alabama,Beatrice,294.0,233.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
 Alabama,Bear Creek,1296.0,0.0,16.0,0.0,0.0,10.0,1246.0,0.0,24.0
 Alabama,Bayou La Batre,2634.0,380.0,0.0,672.0,0.0,172.0,1291.0,0.0,119.0
 Alabama,Billingsley,176.0,34.0,1.0,0.0,0.0,0.0,141.0,0.0,0.0
 Alabama,Bay Minette,8843.0,3111.0,7.0,20.0,0.0,115.0,5438.0,0.0,160.0
 Alabama,Ballplay,1535.0,0.0,0.0,0.0,0.0,0.0,1478.0,0.0,57.0
 Alabama,Bakerhill,209.0,76.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0
 Alabama,Baileyton,909.0,8.0,0.0,10.0,0.0,0.0,867.0,0.0,24.0
 Alabama,Babbie,687.0,0.0,0.0,0.0,0.0,2.0,685.0,0.0,0.0
 Alabama,Axis,911.0,275.0,0.0,75.0,0.0,0.0,561.0,0.0,0.0
 Alabama,Avon,594.0,64.0,8.0,24.0,0.0,0.0,498.0,0.0,0.0
 Alabama,Autaugaville,1119.0,816.0,0.0,0.0,0.0,17.0,267.0,14.0,22.0
 Alabama,Auburn,58693.0,10432.0,73.0,4191.0,26.0,2292.0,41006.0,826.0,697.0
 Alabama,Attalla,5965.0,929.0,0.0,0.0,49.0,361.0,4450.0,42.0,188.0
 Alabama,Atmore,10072.0,4993.0,140.0,34.0,0.0,65.0,4617.0,42.0,231.0
 Alabama,Athens,23938.0,4025.0,154.0,157.0,38.0,2010.0,17036.0,885.0,606.0
 Alabama,Banks,136.0,36.0,0.0,0.0,0.0,3.0,97.0,3.0,0.0
 Alabama,Birmingham,212211.0,154032.0,370.0,2067.0,23.0,7337.0,46780.0,2720.0,2140.0
 Alabama,Black,157.0,0.0,2.0,0.0,0.0,0.0,153.0,0.0,2.0
 Alabama,Blountsville,1967.0,90.0,0.0,4.0,0.0,276.0,1547.0,5.0,72.0
 Alabama,New Market,1410.0,257.0,12.0,0.0,9.0,51.0,1081.0,0.0,0.0
 Alabama,New Hope,2803.0,9.0,72.0,0.0,0.0,20.0,2584.0,0.0,118.0
 Alabama,New Brockton,1346.0,227.0,15.0,2.0,0.0,23.0,995.0,5.0,79.0
 Alabama,Newbern,160.0,115.0,0.0,0.0,0.0,2.0,43.0,0.0,0.0
 Alabama,Needham,108.0,2.0,0.0,0.0,0.0,0.0,103.0,0.0,3.0
 Alabama,Nectar,281.0,0.0,0.0,0.0,0.0,6.0,275.0,0.0,0.0
 Alabama,Nauvoo,171.0,0.0,0.0,0.0,0.0,9.0,155.0,0.0,7.0
 Alabama,Natural Bridge,43.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
 Alabama,Napier Field,414.0,32.0,17.0,2.0,0.0,39.0,322.0,5.0,2.0
 Alabama,Nances Creek,292.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0
 Alabama,Nanafalia,64.0,27.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
 Alabama,Myrtlewood,157.0,5.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0
