State,City,Population,Unemployment Count
 Alabama,Shoal Creek,1481.0,406.0
 Alabama,Shiloh,350.0,100.0
 Alabama,Shelby,1364.0,580.0
 Alabama,Sheffield,9074.0,3593.0
 Alabama,Semmes,3583.0,1203.0
 Alabama,Selmont-West Selmont,2574.0,786.0
 Alabama,Selma,19987.0,7799.0
 Alabama,Section,811.0,312.0
 Alabama,Scottsboro,14775.0,5412.0
 Alabama,Satsuma,6152.0,1777.0
 Alabama,Sardis City,1654.0,610.0
 Alabama,Saraland,13715.0,4816.0
 Alabama,Red Bay,3143.0,1099.0
 Alabama,Ashville,2342.0,772.0
 Alabama,Ray,480.0,98.0
 Alabama,Rainsville,4992.0,1864.0
 Alabama,Dothan,67708.0,21397.0
 Alabama,Double Springs,1180.0,479.0
 Alabama,Douglas,1024.0,268.0
 Alabama,Dozier,307.0,132.0
 Alabama,Dunnavant,984.0,340.0
 Alabama,Dutton,331.0,91.0
 Alabama,East Brewton,2508.0,1057.0
 Alabama,East Point,151.0,104.0
 Alabama,Eclectic,912.0,295.0
 Alabama,Edgewater,905.0,288.0
 Alabama,Edwardsville,137.0,20.0
 Alabama,Dora,2295.0,850.0
 Alabama,Egypt,1254.0,392.0
 Alabama,Elberta,1506.0,578.0
 Alabama,Eldridge,204.0,71.0
 Alabama,Elkmont,430.0,149.0
 Alabama,Pleasant Groves,560.0,159.0
 Alabama,Pleasant Grove,10270.0,3496.0
 Alabama,Pisgah,717.0,293.0
 Alabama,Pinson,7448.0,1943.0
 Alabama,Pine Ridge,235.0,72.0
 Alabama,Pine Level,4552.0,1155.0
 Alabama,Pine Hill,929.0,403.0
 Alabama,Pine Apple,138.0,85.0
 Alabama,Elba,3919.0,1610.0
 Alabama,Dodge City,714.0,268.0
 Alabama,Detroit,215.0,106.0
 Alabama,Demopolis,7249.0,2867.0
 Alabama,Rainbow City,9608.0,3134.0
 Alabama,Ragland,1802.0,678.0
 Alabama,Putnam,100.0,58.0
 Alabama,Providence,268.0,107.0
 Alabama,Prichard,22439.0,8966.0
 Alabama,Priceville,2943.0,714.0
 Alabama,Prattville,34706.0,9728.0
 Alabama,Powell,1037.0,472.0
 Alabama,Pollard,236.0,21.0
 Alabama,Point Clear,2495.0,1001.0
 Alabama,Crossville,2312.0,930.0
 Alabama,Cuba,509.0,133.0
 Alabama,Cullman,15014.0,5700.0
 Alabama,Cullomburg,117.0,65.0
 Alabama,Cusseta,151.0,61.0
 Alabama,Dadeville,3181.0,1511.0
 Alabama,Daleville,5188.0,1321.0
 Alabama,Daphne,23559.0,5871.0
 Alabama,Dauphin Island,1319.0,496.0
 Alabama,Daviston,271.0,86.0
 Alabama,Dayton,25.0,9.0
 Alabama,Deatsville,1218.0,313.0
 Alabama,Decatur,55598.0,17351.0
 Alabama,Deer Park,203.0,104.0
 Alabama,Delta,259.0,101.0
 Alabama,Ranburne,441.0,142.0
 Alabama,Ashland,2667.0,1073.0
 Alabama,Ashford,2316.0,877.0
 Alabama,Arley,476.0,241.0
 Alabama,Hanceville,3195.0,1513.0
 Alabama,Hammondville,587.0,238.0
 Alabama,Hamilton,6814.0,2351.0
 Alabama,Haleyville,4068.0,1556.0
 Alabama,Haleburg,96.0,38.0
 Alabama,Hackneyville,381.0,187.0
 Alabama,Hackleburg,1444.0,486.0
 Alabama,Gu-Win,126.0,41.0
 Alabama,Gurley,691.0,281.0
 Alabama,Guntersville,8326.0,3225.0
 Alabama,Gulf Shores,10703.0,3477.0
 Alabama,Harpersville,1711.0,571.0
 Alabama,Gulfcrest,207.0,53.0
 Alabama,Grove Hill,1716.0,685.0
 Alabama,Elmore,1671.0,485.0
 Alabama,Emelle,38.0,27.0
 Alabama,Emerald Mountain,2895.0,673.0
 Alabama,Enterprise,27785.0,7946.0
 Alabama,Epes,137.0,58.0
 Alabama,Grimes,570.0,183.0
 Alabama,Greenville,7912.0,2494.0
 Alabama,Greensboro,2485.0,1165.0
 Alabama,Graysville,2149.0,902.0
 Alabama,Grayson Valley,5160.0,1372.0
 Alabama,Guin,2351.0,1139.0
 Alabama,Hartford,2645.0,1029.0
 Alabama,Hartselle,14455.0,4230.0
 Alabama,Harvest,5226.0,924.0
 Alabama,Hoover,83547.0,19651.0
 Alabama,Homewood,25535.0,5978.0
 Alabama,Holtville,4263.0,1161.0
 Alabama,Holt,3652.0,1164.0
 Alabama,Hollywood,971.0,427.0
 Alabama,Holly Pond,1084.0,348.0
 Alabama,Hollis Crossroads,714.0,275.0
 Alabama,Hollins,930.0,341.0
 Alabama,Hokes Bluff,4314.0,1402.0
 Alabama,Hodges,308.0,113.0
 Alabama,Hobson City,998.0,407.0
 Alabama,Hobson,77.0,77.0
 Alabama,Hissop,772.0,313.0
 Alabama,Hillsboro,562.0,228.0
 Alabama,Highland Lakes,4864.0,1227.0
 Alabama,Highland Lake,393.0,164.0
 Alabama,Henagar,2253.0,944.0
 Alabama,Helena,17589.0,3322.0
 Alabama,Heflin,3504.0,1494.0
 Alabama,Heath,338.0,119.0
 Alabama,Headland,4685.0,1235.0
 Alabama,Hazel Green,3266.0,1083.0
 Alabama,Hayneville,984.0,412.0
 Alabama,Hayden,1186.0,429.0
 Alabama,Hatton,144.0,39.0
 Alabama,Grant,956.0,222.0
 Alabama,Horn Hill,254.0,97.0
 Alabama,Grand Bay,3501.0,1235.0
 Alabama,Goshen,356.0,133.0
 Alabama,Fort Rucker,4895.0,745.0
 Alabama,Fort Payne,14112.0,4531.0
 Alabama,Fort Deposit,1482.0,510.0
 Alabama,Forkland,767.0,300.0
 Alabama,Forestdale,9716.0,3116.0
 Alabama,Foley,16345.0,6326.0
 Alabama,Florence,39855.0,15141.0
 Alabama,Florala,1863.0,786.0
 Alabama,Flomaton,1670.0,595.0
 Alabama,Five Points,181.0,63.0
 Alabama,Fitzpatrick,84.0,65.0
 Alabama,Franklin,243.0,54.0
 Alabama,Fayetteville,1257.0,544.0
 Alabama,Faunsdale,53.0,31.0
 Alabama,Falkville,1226.0,633.0
 Alabama,Fairview,483.0,204.0
 Alabama,Fairhope,17309.0,6284.0
 Alabama,Fairford,85.0,85.0
 Alabama,Fairfield,10987.0,3904.0
 Alabama,Excel,1019.0,417.0
 Alabama,Evergreen,3842.0,1503.0
 Alabama,Eva,552.0,192.0
 Alabama,Eutaw,2834.0,1252.0
 Alabama,Eunola,421.0,217.0
 Alabama,Fayette,4523.0,1667.0
 Alabama,Fredonia,385.0,145.0
 Alabama,Frisco City,1272.0,564.0
 Alabama,Fruitdale,209.0,60.0
 Alabama,Gordonville,278.0,150.0
 Alabama,Gordon,275.0,135.0
 Alabama,Gordo,1680.0,676.0
