State,City,Population,Never Married,Married,Divorced,Separated,Widowed
 Alabama,New Hope,2803.0,494.0,1263.0,301.0,35.0,106.0
 Alabama,New Brockton,1346.0,324.0,444.0,157.0,25.0,68.0
 Alabama,Newbern,160.0,29.0,63.0,18.0,3.0,19.0
 Alabama,Needham,108.0,11.0,65.0,10.0,2.0,9.0
 Alabama,Nectar,281.0,52.0,108.0,42.0,13.0,19.0
 Alabama,Nauvoo,171.0,34.0,71.0,20.0,4.0,15.0
 Alabama,Natural Bridge,43.0,4.0,31.0,3.0,0.0,1.0
 Alabama,Napier Field,414.0,80.0,176.0,44.0,8.0,18.0
 Alabama,Nances Creek,292.0,35.0,112.0,31.0,0.0,39.0
 Alabama,Nanafalia,64.0,18.0,24.0,5.0,0.0,7.0
 Alabama,Myrtlewood,157.0,35.0,71.0,20.0,4.0,15.0
 Alabama,Muscle Shoals,13492.0,2783.0,5904.0,1404.0,199.0,643.0
 Alabama,Munford,1443.0,350.0,469.0,180.0,58.0,83.0
 Alabama,Mulga,922.0,197.0,297.0,110.0,28.0,84.0
 Alabama,Eufaula,12809.0,3205.0,4456.0,1357.0,212.0,888.0
 Alabama,Mount Vernon,1482.0,420.0,424.0,141.0,55.0,194.0
 Alabama,Mount Olive CDP (Jefferson County),4100.0,606.0,2192.0,310.0,0.0,147.0
 Alabama,Mount Olive CDP (Coosa County),300.0,83.0,116.0,18.0,0.0,5.0
 Alabama,Mountain Brook,20518.0,2730.0,10944.0,977.0,57.0,590.0
 Alabama,Bon Air,103.0,10.0,30.0,20.0,3.0,5.0
 Alabama,Boligee,640.0,211.0,94.0,33.0,7.0,49.0
 Alabama,Boaz,9673.0,2208.0,3368.0,940.0,99.0,690.0
 Alabama,Blue Springs,99.0,26.0,58.0,5.0,0.0,6.0
 Alabama,Blue Ridge,1461.0,335.0,731.0,55.0,7.0,83.0
 Alabama,Pickensville,661.0,184.0,204.0,85.0,25.0,59.0
 Alabama,Piedmont,4767.0,764.0,1900.0,438.0,192.0,457.0
 Alabama,Pike Road,7178.0,1059.0,3895.0,376.0,20.0,191.0
 Alabama,Pinckard,460.0,104.0,186.0,72.0,5.0,23.0
 Alabama,St. Stephens,580.0,100.0,202.0,150.0,0.0,54.0
 Alabama,St. Florian,418.0,73.0,245.0,29.0,0.0,29.0
 Alabama,Rutledge,342.0,53.0,150.0,42.0,3.0,44.0
 Alabama,Russellville,9824.0,2288.0,3043.0,1067.0,121.0,854.0
 Alabama,Rosa,385.0,113.0,182.0,22.0,2.0,27.0
 Alabama,Rogersville,1099.0,166.0,378.0,115.0,9.0,153.0
 Alabama,Rockville,34.0,17.0,11.0,6.0,0.0,0.0
 Alabama,Rock Mills,648.0,140.0,327.0,24.0,0.0,42.0
 Alabama,Rockford,620.0,141.0,161.0,115.0,40.0,73.0
 Alabama,Rock Creek,1336.0,247.0,620.0,213.0,0.0,41.0
 Alabama,Robertsdale,5656.0,1243.0,2445.0,493.0,105.0,305.0
 Alabama,Saks,10826.0,2002.0,4405.0,1224.0,239.0,779.0
 Alabama,Roanoke,6013.0,1238.0,2128.0,799.0,144.0,567.0
 Alabama,Riverside,2296.0,338.0,1121.0,257.0,45.0,149.0
 Alabama,River Falls,721.0,156.0,223.0,111.0,25.0,76.0
 Alabama,Ridgeville,117.0,39.0,32.0,19.0,4.0,15.0
 Alabama,Repton,130.0,30.0,45.0,11.0,7.0,9.0
 Alabama,Rehobeth,1602.0,283.0,761.0,111.0,19.0,58.0
 Alabama,Reform,2012.0,568.0,522.0,277.0,21.0,192.0
 Alabama,Reeltown,425.0,67.0,238.0,68.0,0.0,38.0
 Alabama,Reece City,793.0,117.0,359.0,105.0,16.0,45.0
 Alabama,Redstone Arsenal,1657.0,756.0,513.0,61.0,0.0,8.0
 Alabama,Red Level,364.0,68.0,168.0,42.0,8.0,25.0
 Alabama,Redland,4331.0,499.0,2481.0,233.0,67.0,108.0
 Alabama,Riverview,138.0,21.0,62.0,12.0,5.0,17.0
 Alabama,Samson,2103.0,572.0,563.0,250.0,85.0,172.0
 Alabama,Sand Rock,590.0,97.0,354.0,33.0,16.0,27.0
 Alabama,Sanford,212.0,46.0,89.0,38.0,3.0,6.0
 Alabama,South Vinemont,545.0,154.0,153.0,67.0,8.0,66.0
 Alabama,Southside,8514.0,1659.0,4383.0,460.0,15.0,421.0
 Alabama,Somerville,691.0,119.0,339.0,89.0,3.0,32.0
 Alabama,Snead,765.0,105.0,397.0,63.0,7.0,86.0
 Alabama,Smoke Rise,2443.0,475.0,1217.0,122.0,0.0,69.0
 Alabama,Smiths Station,5165.0,784.0,2202.0,586.0,144.0,156.0
 Alabama,Slocomb,1880.0,440.0,676.0,248.0,46.0,190.0
 Alabama,Skyline,1048.0,196.0,475.0,121.0,21.0,68.0
 Alabama,Sipsey,473.0,102.0,186.0,53.0,30.0,40.0
 Alabama,Sims Chapel,163.0,28.0,68.0,7.0,0.0,8.0
 Alabama,Silverhill,654.0,60.0,343.0,65.0,24.0,56.0
 Alabama,Silas,680.0,202.0,180.0,100.0,9.0,27.0
 Alabama,Shorter,436.0,88.0,160.0,47.0,21.0,42.0
 Alabama,Shoal Creek,1481.0,178.0,816.0,71.0,0.0,85.0
 Alabama,Shiloh,350.0,52.0,141.0,56.0,15.0,17.0
 Alabama,Shelby,1364.0,240.0,633.0,127.0,38.0,52.0
 Alabama,Sheffield,9074.0,2419.0,3041.0,1252.0,228.0,707.0
 Alabama,Semmes,3583.0,592.0,1423.0,334.0,82.0,235.0
 Alabama,Selmont-West Selmont,2574.0,1060.0,364.0,211.0,121.0,139.0
 Alabama,Selma,19987.0,7256.0,4068.0,1974.0,695.0,1563.0
 Alabama,Section,811.0,146.0,330.0,91.0,19.0,63.0
 Alabama,Scottsboro,14775.0,2952.0,6333.0,1503.0,216.0,1260.0
 Alabama,Satsuma,6152.0,777.0,3097.0,714.0,18.0,293.0
 Alabama,Sardis City,1654.0,359.0,829.0,118.0,9.0,116.0
 Alabama,Saraland,13715.0,2823.0,6006.0,1257.0,209.0,1033.0
 Alabama,Red Bay,3143.0,617.0,1044.0,475.0,66.0,339.0
 Alabama,Ashville,2342.0,490.0,831.0,175.0,143.0,137.0
 Alabama,Ray,480.0,127.0,230.0,38.0,54.0,16.0
 Alabama,Rainsville,4992.0,899.0,2397.0,468.0,30.0,308.0
 Alabama,Dothan,67708.0,16595.0,24335.0,7937.0,1643.0,3753.0
 Alabama,Double Springs,1180.0,241.0,402.0,174.0,32.0,139.0
 Alabama,Douglas,1024.0,222.0,339.0,101.0,37.0,40.0
 Alabama,Dozier,307.0,110.0,88.0,50.0,2.0,19.0
 Alabama,Dunnavant,984.0,184.0,438.0,61.0,32.0,51.0
 Alabama,Dutton,331.0,59.0,135.0,40.0,1.0,22.0
 Alabama,East Brewton,2508.0,663.0,840.0,295.0,34.0,191.0
 Alabama,East Point,151.0,19.0,132.0,0.0,0.0,0.0
 Alabama,Eclectic,912.0,169.0,353.0,106.0,12.0,64.0
 Alabama,Edgewater,905.0,248.0,211.0,115.0,9.0,44.0
 Alabama,Edwardsville,137.0,18.0,75.0,10.0,0.0,7.0
 Alabama,Dora,2295.0,484.0,858.0,291.0,64.0,110.0
 Alabama,Egypt,1254.0,303.0,619.0,56.0,0.0,26.0
 Alabama,Elberta,1506.0,304.0,579.0,205.0,64.0,78.0
 Alabama,Eldridge,204.0,36.0,87.0,14.0,7.0,8.0
 Alabama,Elkmont,430.0,48.0,196.0,54.0,12.0,35.0
 Alabama,Pleasant Groves,560.0,132.0,243.0,20.0,10.0,37.0
 Alabama,Pleasant Grove,10270.0,2514.0,4400.0,1074.0,74.0,410.0
 Alabama,Pisgah,717.0,149.0,262.0,102.0,17.0,54.0
 Alabama,Pinson,7448.0,1386.0,3465.0,847.0,52.0,465.0
 Alabama,Pine Ridge,235.0,27.0,68.0,41.0,3.0,12.0
 Alabama,Pine Level,4552.0,843.0,2180.0,403.0,31.0,157.0
 Alabama,Pine Hill,929.0,260.0,276.0,49.0,36.0,50.0
 Alabama,Pine Apple,138.0,16.0,42.0,29.0,21.0,10.0
 Alabama,Elba,3919.0,1216.0,1143.0,452.0,138.0,297.0
 Alabama,Dodge City,714.0,92.0,372.0,53.0,13.0,35.0
 Alabama,Detroit,215.0,44.0,112.0,18.0,6.0,13.0
 Alabama,Demopolis,7249.0,1795.0,2221.0,774.0,162.0,598.0
 Alabama,Rainbow City,9608.0,1613.0,4102.0,1107.0,245.0,547.0
 Alabama,Ragland,1802.0,326.0,704.0,162.0,21.0,176.0
 Alabama,Putnam,100.0,29.0,51.0,9.0,7.0,4.0
 Alabama,Providence,268.0,26.0,142.0,28.0,8.0,19.0
 Alabama,Prichard,22439.0,7779.0,4697.0,2195.0,1074.0,1741.0
 Alabama,Priceville,2943.0,473.0,1312.0,250.0,63.0,170.0
 Alabama,Prattville,34706.0,7115.0,14332.0,3606.0,506.0,1697.0
 Alabama,Powell,1037.0,291.0,354.0,119.0,22.0,90.0
 Alabama,Pollard,236.0,42.0,73.0,23.0,3.0,7.0
 Alabama,Point Clear,2495.0,240.0,997.0,263.0,42.0,303.0
 Alabama,Crossville,2312.0,433.0,920.0,188.0,30.0,234.0
 Alabama,Cuba,509.0,52.0,285.0,39.0,27.0,27.0
 Alabama,Cullman,15014.0,2734.0,6259.0,2107.0,214.0,1054.0
 Alabama,Cullomburg,117.0,28.0,44.0,18.0,0.0,0.0
