State,City,Population,None,High School,Associates,Bachelors,Graduate
 Alabama,New Hope,2803.0,284.0,592.0,649.0,224.0,58.0
 Alabama,New Brockton,1346.0,172.0,282.0,304.0,79.0,16.0
 Alabama,Newbern,160.0,32.0,59.0,26.0,6.0,3.0
 Alabama,Needham,108.0,14.0,41.0,14.0,12.0,5.0
 Alabama,Nectar,281.0,41.0,67.0,74.0,4.0,3.0
 Alabama,Nauvoo,171.0,38.0,46.0,27.0,5.0,0.0
 Alabama,Natural Bridge,43.0,12.0,11.0,10.0,2.0,0.0
 Alabama,Napier Field,414.0,53.0,106.0,98.0,7.0,4.0
 Alabama,Nances Creek,292.0,42.0,77.0,43.0,27.0,12.0
 Alabama,Nanafalia,64.0,3.0,24.0,14.0,9.0,0.0
 Alabama,Myrtlewood,157.0,36.0,48.0,42.0,4.0,1.0
 Alabama,Muscle Shoals,13492.0,1039.0,2623.0,2978.0,1448.0,1109.0
 Alabama,Munford,1443.0,115.0,340.0,360.0,72.0,21.0
 Alabama,Mulga,922.0,178.0,257.0,169.0,26.0,6.0
 Alabama,Eufaula,12809.0,1559.0,3059.0,2330.0,845.0,637.0
 Alabama,Mount Vernon,1482.0,207.0,555.0,240.0,41.0,37.0
 Alabama,Mount Olive CDP (Jefferson County),4100.0,213.0,989.0,1053.0,355.0,225.0
 Alabama,Mount Olive CDP (Coosa County),300.0,21.0,108.0,37.0,0.0,0.0
 Alabama,Mountain Brook,20518.0,61.0,321.0,1659.0,5689.0,5569.0
 Alabama,Bon Air,103.0,9.0,38.0,12.0,0.0,4.0
 Alabama,Boligee,640.0,62.0,158.0,23.0,20.0,46.0
 Alabama,Boaz,9673.0,1348.0,1605.0,1703.0,732.0,372.0
 Alabama,Blue Springs,99.0,3.0,28.0,25.0,11.0,1.0
 Alabama,Blue Ridge,1461.0,23.0,171.0,292.0,266.0,209.0
 Alabama,Pickensville,661.0,152.0,221.0,80.0,35.0,18.0
 Alabama,Piedmont,4767.0,758.0,1122.0,1043.0,178.0,171.0
 Alabama,Pike Road,7178.0,199.0,643.0,1224.0,1546.0,1138.0
 Alabama,Pinckard,460.0,38.0,124.0,130.0,29.0,11.0
 Alabama,St. Stephens,580.0,56.0,286.0,110.0,22.0,0.0
 Alabama,St. Florian,418.0,28.0,113.0,96.0,77.0,22.0
 Alabama,Rutledge,342.0,80.0,82.0,59.0,29.0,15.0
 Alabama,Russellville,9824.0,1838.0,2198.0,1197.0,443.0,237.0
 Alabama,Rosa,385.0,50.0,95.0,83.0,23.0,17.0
 Alabama,Rogersville,1099.0,128.0,248.0,190.0,106.0,37.0
 Alabama,Rockville,34.0,6.0,0.0,0.0,5.0,6.0
 Alabama,Rock Mills,648.0,135.0,112.0,130.0,71.0,8.0
 Alabama,Rockford,620.0,149.0,137.0,148.0,11.0,27.0
 Alabama,Rock Creek,1336.0,147.0,416.0,305.0,82.0,42.0
 Alabama,Robertsdale,5656.0,748.0,1394.0,1088.0,324.0,163.0
 Alabama,Saks,10826.0,1485.0,2262.0,2054.0,788.0,343.0
 Alabama,Roanoke,6013.0,944.0,1258.0,1332.0,383.0,228.0
 Alabama,Riverside,2296.0,216.0,462.0,584.0,260.0,135.0
 Alabama,River Falls,721.0,174.0,175.0,98.0,35.0,10.0
 Alabama,Ridgeville,117.0,28.0,34.0,24.0,5.0,1.0
 Alabama,Repton,130.0,37.0,34.0,15.0,2.0,0.0
 Alabama,Rehobeth,1602.0,162.0,345.0,334.0,146.0,85.0
 Alabama,Reform,2012.0,253.0,494.0,367.0,55.0,61.0
 Alabama,Reeltown,425.0,74.0,83.0,136.0,38.0,13.0
 Alabama,Reece City,793.0,80.0,240.0,188.0,35.0,12.0
 Alabama,Redstone Arsenal,1657.0,39.0,40.0,324.0,133.0,114.0
 Alabama,Red Level,364.0,59.0,99.0,81.0,29.0,15.0
 Alabama,Redland,4331.0,245.0,750.0,916.0,693.0,394.0
 Alabama,Riverview,138.0,24.0,46.0,24.0,3.0,1.0
 Alabama,Samson,2103.0,448.0,452.0,318.0,62.0,25.0
 Alabama,Sand Rock,590.0,82.0,144.0,131.0,31.0,39.0
 Alabama,Sanford,212.0,43.0,47.0,44.0,16.0,10.0
 Alabama,South Vinemont,545.0,78.0,151.0,97.0,32.0,16.0
 Alabama,Southside,8514.0,569.0,1557.0,2263.0,890.0,575.0
 Alabama,Somerville,691.0,111.0,145.0,164.0,55.0,40.0
 Alabama,Snead,765.0,110.0,215.0,172.0,41.0,19.0
 Alabama,Smoke Rise,2443.0,116.0,620.0,464.0,324.0,64.0
 Alabama,Smiths Station,5165.0,656.0,804.0,1152.0,596.0,117.0
 Alabama,Slocomb,1880.0,324.0,383.0,417.0,164.0,33.0
 Alabama,Skyline,1048.0,172.0,309.0,183.0,27.0,8.0
 Alabama,Sipsey,473.0,62.0,140.0,154.0,6.0,6.0
 Alabama,Sims Chapel,163.0,0.0,52.0,31.0,0.0,0.0
 Alabama,Silverhill,654.0,54.0,180.0,182.0,53.0,38.0
 Alabama,Silas,680.0,151.0,143.0,125.0,16.0,9.0
 Alabama,Shorter,436.0,99.0,87.0,87.0,25.0,15.0
 Alabama,Shoal Creek,1481.0,4.0,70.0,218.0,455.0,286.0
 Alabama,Shiloh,350.0,58.0,81.0,63.0,32.0,4.0
 Alabama,Shelby,1364.0,207.0,467.0,229.0,73.0,7.0
 Alabama,Sheffield,9074.0,1332.0,2224.0,1729.0,764.0,434.0
 Alabama,Semmes,3583.0,485.0,727.0,678.0,185.0,65.0
 Alabama,Selmont-West Selmont,2574.0,311.0,680.0,358.0,61.0,10.0
 Alabama,Selma,19987.0,2794.0,4063.0,3639.0,1199.0,899.0
 Alabama,Section,811.0,131.0,191.0,158.0,62.0,19.0
