Low/High,% Black,% Asian,% Native Hawaiian/Pacific Islander,% White,% Hispanic/Latino,% American Indian/Alaskan Native,% Two or More,% Other
Low Crime Cities,3.61,2.45,0.04,79.03,7.64,3.52,2.41,1.3
High Crime Cities,27.26,1.63,0.14,46.52,13.67,3.86,3.45,3.48
