Low/High,% Nursery-Pre-School,% Kindergarten,% 1st-4th,% 5th-8th,% 9th-12th
Low Crime Cities,7.07,6.82,27.43,30.99,27.7
High Crime Cities,8.91,7.47,29.77,26.53,27.32
